seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1100535	1100684	150	*	X00032	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1246502	1246606	105	*	X00042	116983	1227764	1244989	17226	-	1512	upstream	1512	ACAP3
chr1	1246637	1246726	90	*	X00043	116983	1227764	1244989	17226	-	1647	upstream	1647	ACAP3
chr1	11900434	11900563	130	*	X00149	100379251	11900376	11907674	7299	+	0	inside	57	NPPA-AS1
chr1	28907948	28908082	135	*	X00371	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X00371	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X00371	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	31442201	31442320	120	*	X00387	692200	31441010	31441084	75	-	1116	upstream	1116	SNORD103C
chr1	32672740	32672859	120	*	X00402	149069	32674695	32681797	7103	+	1835	upstream	1835	DCDC2B
chr1	40025142	40025219	78	*	X00466	728448	39987952	40025370	37419	-	0	inside	150	PPIEL
chr1	41480540	41480646	107	*	X00484	100507178	41480262	41509562	29301	+	0	inside	277	SLFNL1-AS1
chr1	44170772	44171056	285	*	X00546	6487	44171495	44396837	225343	+	438	upstream	438	ST3GAL3
chr1	150782216	150782310	95	*	X00820	1513	150768684	150780917	12234	-	1298	upstream	1298	CTSK
chr1	151030764	151030829	66	*	X00829	10962	151032151	151040973	8823	+	1321	upstream	1321	MLLT11
chr1	153745776	153745783	8	*	X00879	11000	153747768	153752633	4866	+	1984	upstream	1984	SLC27A3
chr1	153919592	153919711	120	*	X00886	9909	153901977	153919154	17178	-	437	upstream	437	DENND4B
chr1	153920522	153920626	105	*	X00887	9909	153901977	153919154	17178	-	1367	upstream	1367	DENND4B
chr1	153931643	153931696	54	*	X00894	200186	153920148	153931132	10985	-	510	upstream	510	CRTC2
chr1	153931772	153931891	120	*	X00895	200186	153920148	153931132	10985	-	639	upstream	639	CRTC2
chr1	154178700	154178744	45	*	X00899	388701	154171562	154178841	7280	-	0	inside	96	C1orf189
chr1	154935838	154935972	135	*	X00918	90780	154929502	154934258	4757	-	1579	upstream	1579	PYGO2
chr1	155232467	155232520	54	*	X00943	10067	155225770	155232176	6407	-	290	upstream	290	SCAMP3
chr1	155289489	155289608	120	*	X00949	23623	155290640	155300909	10270	+	1031	upstream	1031	RUSC1
chr1	156711373	156711477	105	*	X01011	79590	156707094	156710923	3830	-	449	upstream	449	MRPL24
chr1	156712719	156712842	124	*	X01012	79590	156707094	156710923	3830	-	1795	upstream	1795	MRPL24
chr1	157096453	157096562	110	*	X01033	360155	157098154	157098463	310	+	1591	upstream	1591	CYCSP52
chr1	157096855	157096902	48	*	X01034	360155	157098154	157098463	310	+	1251	upstream	1251	CYCSP52
chr1	161039815	161039949	135	*	X01053	257106	161016732	161039760	23029	-	54	upstream	54	ARHGAP30
chr1	228284720	228284801	82	*	X01352	100500810	228284964	228285042	79	+	162	upstream	162	MIR3620
chr1	228284967	228285086	120	*	X01353	100500810	228284964	228285042	79	+	0	overlapEnd	2	MIR3620
chr1	228336253	228336336	84	*	X01358	57165	228337415	228347527	10113	+	1078	upstream	1078	GJC2
chr10	8094843	8094947	105	*	X01503	2625	8096667	8117164	20498	+	1719	upstream	1719	GATA3
chr10	28823001	28823086	86	*	X01562	220906	28808846	28821460	12615	-	1540	upstream	1540	WAC-AS1
chr10	29892068	29892168	101	*	X01572	100126327	29891193	29891275	83	-	792	upstream	792	MIR938
chr10	99330213	99330316	104	*	X01867	26287	99332256	99343641	11386	+	1939	upstream	1939	ANKRD2
chr10	102748346	102748465	120	*	X01892	84545	102737579	102747272	9694	-	1073	upstream	1073	MRPL43
chr10	103544034	103544198	165	*	X01900	10360	103541082	103543170	2089	-	863	upstream	863	NPM3
chr10	126722804	126722908	105	*	X02041	100423041	126721352	126721439	88	-	1364	upstream	1364	MIR4296
chr11	6504510	6504614	105	*	X02141	23647	6495913	6502709	6797	-	1800	upstream	1800	ARFIP2
chr11	10877751	10877861	111	*	X02153	729013	10879764	10900823	21060	+	1902	upstream	1902	ZBED5-AS1
chr11	46396216	46396224	9	*	X02200	100616368	46397952	46398034	83	+	1727	upstream	1727	MIR4688
